Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
NAN35	KL156-D1	unknown (KL156-D1)	None	?-	50.91%	90.09%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,95.028%;KL156-D1_03_rmlD,96.333%;KL156-D1_04_rmlA,97.27%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.606%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		5	KL121_14_gmd,91.398%;KL156-D1_02_rmlB,81.768%;KL131_09_rmlB,80.508%;KL156-D1_04_rmlA,85.121%;KL4_04_HG290,80.119%
NAN42	KL156-D1	unknown (KL156-D1)	None	?-*	50.30%	90.89%	n/a	7 / 17 (41.2%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,95.304%;KL156-D1_03_rmlD,97.0%;KL156-D1_04_rmlA,97.611%;KL156-D1_05_rmlC,81.768%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.258%	KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
NAN43	KL54	K54	None	?-*	44.00%	72.90%	n/a	4 / 20 (20%)	KL54_01_galF,88.851%;KL54_12_gmd,89.247%;KL54_17_gnd,95.309%;KL54_20_ugd,83.29%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
NAN47	KL54	K54	None	?-*	44.67%	72.56%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,89.247%;KL54_17_gnd,95.522%;KL54_20_ugd,82.776%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
NIC04	KL156-D1	unknown (KL156-D1)	None	?-*	53.31%	88.48%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.329%;KL156-D1_02_rmlB,94.751%;KL156-D1_03_rmlD,95.0%;KL156-D1_04_rmlA,97.251%;KL156-D1_16_gnd,99.147%;KL156-D1_17_ugd,97.909%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
NIC07	KL9	K9	Good	?-	96.00%	97.00%	n/a	18 / 19 (94.7%)	KL9_01_galF,98.662%;KL9_03_wzi,98.614%;KL9_04_wza,98.681%;KL9_05_wzb,99.31%;KL9_06_wzc,99.446%;KL9_07_wbaP,98.739%;KL9_08,98.68%;KL9_09,98.722%;KL9_10,98.465%;KL9_11,98.621%;KL9_12,98.618%;KL9_13_wzx,99.287%;KL9_14_gnd,99.574%;KL9_15_rmlB,98.873%;KL9_16_rmlA,97.917%;KL9_17_rmlD,99.327%;KL9_18_rmlC,97.838%;KL9_19_ugd,100.0%	KL9_02_cpsACP	0		0 / 19 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
NIC08	KL54	K54	None	?-+*	47.91%	72.20%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,88.978%;KL54_17_gnd,95.522%;KL54_20_ugd,83.033%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	1	KL54_12_gmd,86.863%	0 / 20 (0%)		2	KL36_09_rmlB,80.342%;KL4_04_HG290,80.119%
NIC11	KL156-D1	unknown (KL156-D1)	None	?-*	48.50%	88.62%	n/a	7 / 17 (41.2%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,94.475%;KL156-D1_03_rmlD,96.0%;KL156-D1_04_rmlA,97.952%;KL156-D1_05_rmlC,85.207%;KL156-D1_16_gnd,99.36%;KL156-D1_17_ugd,84.669%	KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
PO01	KL156-D1	unknown (KL156-D1)	None	?-	50.09%	92.65%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,95.856%;KL156-D1_03_rmlD,96.0%;KL156-D1_04_rmlA,97.952%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.258%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
PO02	KL54	K54	None	?-*	44.37%	72.96%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,89.247%;KL54_17_gnd,94.456%;KL54_20_ugd,83.033%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL36_09_rmlB,80.912%;KL4_04_HG290,80.119%
RY01	KL156-D1	unknown (KL156-D1)	None	?-*	49.28%	89.81%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,95.028%;KL156-D1_03_rmlD,95.0%;KL156-D1_04_rmlA,94.138%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,97.909%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		2	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%
RY02	KL156-D1	unknown (KL156-D1)	None	?-*	49.28%	89.81%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,95.028%;KL156-D1_03_rmlD,95.0%;KL156-D1_04_rmlA,94.138%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,97.909%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		2	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%
RY04	KL156-D1	unknown (KL156-D1)	None	?-	49.99%	92.74%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.329%;KL156-D1_02_rmlB,96.133%;KL156-D1_03_rmlD,96.333%;KL156-D1_04_rmlA,97.952%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,97.909%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		5	KL121_14_gmd,91.398%;KL156-D1_02_rmlB,81.768%;KL131_09_rmlB,80.508%;KL156-D1_04_rmlA,85.467%;KL4_04_HG290,80.119%
RY11	KL156-D1	unknown (KL156-D1)	None	?-+*	50.43%	88.10%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,98.658%;KL156-D1_02_rmlB,97.238%;KL156-D1_03_rmlD,97.0%;KL156-D1_04_rmlA,97.232%;KL156-D1_16_gnd,98.721%;KL156-D1_17_ugd,94.077%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	1	KL43_19_ugd,90.231%	0 / 17 (0%)		5	KL156-D1_16_gnd,98.721%;KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,99.329%;KL4_04_HG290,80.119%
RY12	KL54	K54	None	?-*	44.04%	72.90%	n/a	4 / 20 (20%)	KL54_01_galF,88.851%;KL54_12_gmd,89.247%;KL54_17_gnd,95.309%;KL54_20_ugd,83.29%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
RY13	KL113	unknown (KL113)	None	?-*	49.17%	72.36%	n/a	4 / 20 (20%)	KL113_01_galF,89.189%;KL113_12,88.978%;KL113_17_gnd,95.309%;KL113_20_ugd,91.517%	KL113_02_cpsACP;KL113_03_wzi;KL113_04_wza;KL113_05_wzb;KL113_06_wzc;KL113_07_wzx;KL113_08;KL113_09;KL113_10;KL113_11_wcoS;KL113_13_wcaG;KL113_14;KL113_15_wcaI;KL113_16_wcaJ;KL113_18_manC;KL113_19_manB	0		0 / 20 (0%)		3	KL131_09_rmlB,80.226%;KL68_18,83.183%;KL4_04_HG290,80.119%
RY14	KL54	K54	None	?-*	44.65%	72.55%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,88.978%;KL54_17_gnd,95.522%;KL54_20_ugd,82.776%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
RY15	KL54	K54	None	?-*	48.87%	72.36%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,89.247%;KL54_17_gnd,95.096%;KL54_20_ugd,89.717%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		1	KL131_09_rmlB,80.226%
RY22	KL54	K54	None	?-*	48.73%	72.46%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,89.247%;KL54_17_gnd,95.096%;KL54_20_ugd,89.717%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		1	KL131_09_rmlB,80.226%
RY25	KL156-D1	unknown (KL156-D1)	None	?-*	49.93%	88.81%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,98.658%;KL156-D1_02_rmlB,97.238%;KL156-D1_03_rmlD,97.0%;KL156-D1_04_rmlA,97.232%;KL156-D1_16_gnd,98.721%;KL156-D1_17_ugd,94.077%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
RY28	KL54	K54	None	?-*	45.16%	72.82%	n/a	4 / 20 (20%)	KL54_01_galF,88.514%;KL54_12_gmd,89.247%;KL54_17_gnd,95.309%;KL54_20_ugd,89.46%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
RY36	KL156-D1	unknown (KL156-D1)	None	?-	50.27%	91.03%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,95.028%;KL156-D1_03_rmlD,96.0%;KL156-D1_04_rmlA,97.27%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.606%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
